iMax B6 mini;Outlet A
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh];Temperature Ext [°C];Temperature Int [°C];BatteryRi [m?]
00:05:56.000;5.13;0.30;16;0.0;35.0;0.00
00:05:57.000;5.13;0.30;16;0.0;35.0;0.00
00:05:58.000;5.13;0.31;16;0.0;35.0;0.00
00:05:59.000;5.13;0.30;17;0.0;35.0;0.00
00:06:00.000;5.13;0.30;17;0.0;35.0;0.00
00:06:01.000;5.13;0.30;17;0.0;35.0;0.00
00:06:02.000;5.13;0.32;17;0.0;35.0;0.00
00:06:03.000;5.13;0.31;17;0.0;35.0;0.00
00:06:04.000;5.13;0.31;17;0.0;35.0;0.00
00:06:05.000;5.13;0.30;17;0.0;35.0;0.00
00:06:06.000;5.13;0.30;17;0.0;35.0;0.00
00:06:07.000;5.13;0.30;17;0.0;35.0;0.00
00:06:08.000;5.13;0.31;17;0.0;35.0;0.00
00:06:09.000;5.13;0.31;17;0.0;35.0;0.00
00:06:10.000;5.13;0.31;18;0.0;35.0;0.00
00:06:11.000;5.13;0.30;18;0.0;35.0;0.00
00:06:12.000;5.13;0.30;18;0.0;35.0;0.00
00:06:13.000;5.13;0.30;18;0.0;35.0;0.00
00:06:14.000;5.13;0.32;18;0.0;35.0;0.00
00:06:15.000;5.13;0.31;18;0.0;35.0;0.00
00:06:16.000;5.13;0.31;18;0.0;35.0;0.00
00:06:17.000;5.13;0.31;18;0.0;35.0;0.00
00:06:18.000;5.13;0.31;18;0.0;35.0;0.00
00:06:19.000;5.13;0.30;18;0.0;35.0;0.00
00:06:20.000;5.13;0.30;18;0.0;35.0;0.00
00:06:21.000;5.13;0.31;18;0.0;35.0;0.00
00:06:22.000;5.13;0.32;19;0.0;35.0;0.00
00:06:23.000;5.13;0.30;19;0.0;35.0;0.00
00:06:24.000;5.13;0.31;19;0.0;35.0;0.00
00:06:25.000;5.13;0.31;19;0.0;35.0;0.00
00:06:26.000;5.13;0.30;19;0.0;35.0;0.00
00:06:27.000;5.13;0.32;19;0.0;35.0;0.00
00:06:28.000;5.13;0.30;19;0.0;35.0;0.00
00:06:29.000;5.13;0.30;19;0.0;35.0;0.00
00:06:30.000;5.13;0.30;19;0.0;35.0;0.00
00:06:31.000;5.13;0.30;19;0.0;35.0;0.00
00:06:32.000;5.13;0.30;19;0.0;35.0;0.00
00:06:33.000;5.13;0.30;19;0.0;35.0;0.00
00:06:34.000;5.13;0.30;19;0.0;35.0;0.00
00:06:35.000;5.13;0.30;20;0.0;35.0;0.00
00:06:36.000;5.13;0.30;20;0.0;35.0;0.00
00:06:37.000;5.13;0.30;20;0.0;35.0;0.00
00:06:38.000;5.13;0.30;20;0.0;35.0;0.00
00:06:39.000;5.13;0.30;20;0.0;35.0;0.00
00:06:40.000;5.13;0.30;20;0.0;35.0;0.00
00:06:41.000;5.13;0.31;20;0.0;35.0;0.00
00:06:42.000;5.13;0.31;20;0.0;35.0;0.00
00:06:43.000;5.13;0.31;20;0.0;35.0;0.00
00:06:44.000;5.13;0.30;20;0.0;35.0;0.00
00:06:45.000;5.13;0.31;20;0.0;35.0;0.00
00:06:46.000;5.13;0.30;21;0.0;35.0;0.00
00:06:47.000;5.13;0.31;21;0.0;35.0;0.00
00:06:48.000;5.13;0.30;21;0.0;35.0;0.00
00:06:49.000;5.13;0.30;21;0.0;35.0;0.00
00:06:50.000;5.12;0.30;21;0.0;35.0;0.00
00:06:51.000;5.12;0.30;21;0.0;35.0;0.00
00:06:52.000;5.12;0.31;21;0.0;35.0;0.00
00:06:53.000;5.12;0.31;21;0.0;35.0;0.00
00:06:54.000;5.12;0.30;21;0.0;35.0;0.00
00:06:55.000;5.12;0.31;21;0.0;35.0;0.00
00:06:56.000;5.12;0.30;21;0.0;35.0;0.00
00:06:57.000;5.12;0.30;21;0.0;35.0;0.00
00:06:58.000;5.12;0.30;22;0.0;35.0;0.00
00:06:59.000;5.12;0.31;22;0.0;35.0;0.00
00:07:00.000;5.12;0.30;22;0.0;35.0;0.00
00:07:01.000;5.12;0.31;22;0.0;35.0;0.00
00:07:02.000;5.12;0.30;22;0.0;35.0;0.00
00:07:03.000;5.12;0.31;22;0.0;35.0;0.00
00:07:04.000;5.12;0.30;22;0.0;35.0;0.00
00:07:05.000;5.12;0.31;22;0.0;35.0;0.00
00:07:06.000;5.12;0.30;22;0.0;35.0;0.00
00:07:07.000;5.12;0.30;22;0.0;35.0;0.00
00:07:08.000;5.12;0.31;22;0.0;35.0;0.00
00:07:09.000;5.12;0.30;23;0.0;35.0;0.00
00:07:10.000;5.12;0.31;23;0.0;35.0;0.00
00:07:11.000;5.12;0.30;23;0.0;35.0;0.00
00:07:12.000;5.12;0.30;23;0.0;35.0;0.00
00:07:13.000;5.12;0.30;23;0.0;35.0;0.00
00:07:14.000;5.12;0.30;23;0.0;35.0;0.00
00:07:15.000;5.12;0.30;23;0.0;35.0;0.00
00:07:16.000;5.12;0.30;23;0.0;35.0;0.00
00:07:17.000;5.12;0.30;23;0.0;35.0;0.00
00:07:18.000;5.12;0.30;23;0.0;35.0;0.00
00:07:19.000;5.12;0.30;23;0.0;35.0;0.00
00:07:20.000;5.12;0.30;23;0.0;35.0;0.00
00:07:21.000;5.12;0.30;23;0.0;35.0;0.00
00:07:22.000;5.12;0.30;24;0.0;35.0;0.00
00:07:23.000;5.12;0.31;24;0.0;35.0;0.00
00:07:24.000;5.12;0.30;24;0.0;35.0;0.00
00:07:25.000;5.12;0.31;24;0.0;35.0;0.00
00:07:26.000;5.12;0.30;24;0.0;35.0;0.00
00:07:27.000;5.12;0.30;24;0.0;35.0;0.00
00:07:28.000;5.12;0.30;24;0.0;35.0;0.00
00:07:29.000;5.12;0.30;24;0.0;35.0;0.00
00:07:30.000;5.12;0.30;24;0.0;35.0;0.00
00:07:31.000;5.12;0.30;24;0.0;35.0;0.00
